Frame 1
TU 32x32	20.5
PU Inter SMP 64x64	1
PU SKIP 64x64	10
PU SKIP 32x32	5.75
PU Inter SMP 32x32	0.5
TU 8x8	0.5
PU SKIP 8x8	0.296875
PU Inter SMP 8x8	0.125
TU 16x16	3.3125
PU SKIP 16x16	2.75
PU Inter SMP 16x16	0.3125
PU Inter AMP 16x4	0.015625
PU Inter AMP 16x12	0.046875
PU Merge AMP 16x4	0.015625
PU Merge AMP 16x12	0.046875
PU Inter SMP 8x16	0.0625
PU Inter AMP 4x16	0.015625
PU Inter AMP 12x16	0.046875
PU Inter SMP 4x8	0.03125
PU Merge SMP 4x8	0.015625
PU Inter SMP 8x4	0.0234375
PU Merge SMP 8x4	0.0078125
PU Merge SMP 32x64	1
PU Inter SMP 32x64	1
PU Merge AMP 48x64	0.75
PU Merge AMP 16x64	0.25
PU Merge SMP 16x32	0.125
PU Inter SMP 16x32	0.125
TU 4x4	0.0625
PU Merge SMP 16x16	0.0625
END
Frame 2
TU 32x32	19
PU Inter SMP 32x32	2.25
TU 16x16	3.8125
PU SKIP 16x16	3.3125
TU 8x8	1.32812
PU SKIP 8x8	0.84375
PU Inter SMP 16x32	0.25
PU Merge SMP 16x32	0.25
PU SKIP 32x32	8.75
PU Inter AMP 12x16	0.046875
PU Inter AMP 4x16	0.03125
PU Inter SMP 8x4	0.09375
TU 4x4	0.234375
PU Merge SMP 8x8	0.046875
PU Inter SMP 8x8	0.265625
PU Merge SMP 8x4	0.078125
PU Merge SMP 16x8	0.125
PU Inter SMP 4x8	0.0546875
PU Merge SMP 4x8	0.0546875
PU Inter SMP 32x64	1
PU Merge SMP 16x16	0.125
PU SKIP 64x64	2
PU Inter SMP 64x64	3
PU Merge SMP 32x16	0.125
PU Inter SMP 32x16	0.125
PU Merge AMP 8x32	0.0625
PU Inter AMP 24x32	0.1875
PU Inter SMP 64x32	0.5
PU Merge SMP 64x32	0.5
PU Inter SMP 16x16	0.1875
PU Inter AMP 16x4	0.015625
PU Inter AMP 16x12	0.046875
PU Merge AMP 12x16	0.046875
END
Frame 3
TU 32x32	18.5
PU Inter SMP 32x32	0.5
TU 4x4	0.125
PU Merge SMP 16x16	0.125
TU 16x16	4.5625
PU SKIP 16x16	4
TU 8x8	1.1875
PU SKIP 8x8	0.828125
PU Merge SMP 32x16	0.125
PU Inter SMP 32x16	0.125
PU Inter SMP 64x64	2
PU SKIP 32x32	9
PU Inter SMP 16x16	0.125
PU Inter SMP 8x4	0.0234375
PU Merge SMP 8x4	0.0390625
PU Merge AMP 16x4	0.03125
PU Merge AMP 16x12	0.09375
PU Inter SMP 8x16	0.09375
PU Merge SMP 8x16	0.03125
PU Merge AMP 12x16	0.140625
PU Merge AMP 4x16	0.03125
PU Merge SMP 8x8	0.03125
PU Inter SMP 4x8	0.015625
PU Merge SMP 4x8	0.015625
PU Inter SMP 8x8	0.171875
PU Merge AMP 8x32	0.125
PU Inter AMP 24x32	0.1875
PU Merge AMP 24x32	0.1875
PU SKIP 64x64	3
PU Merge SMP 64x32	1.5
PU Inter SMP 64x32	0.5
PU Inter SMP 32x64	1
PU Inter SMP 16x8	0.03125
PU Merge SMP 16x8	0.03125
PU Inter AMP 4x16	0.015625
PU Merge SMP 16x32	0.125
PU Inter SMP 16x32	0.125
END
Frame 4
TU 4x4	3.79688
PU Merge AMP 16x4	0.171875
PU Inter AMP 16x12	0.28125
TU 16x16	9.0625
PU SKIP 16x16	6.3125
PU Merge SMP 16x16	2.125
TU 8x8	4.51562
PU SKIP 8x8	1.70312
PU Inter SMP 8x4	0.265625
PU Merge SMP 8x4	0.21875
PU Merge SMP 8x8	0.84375
PU Inter SMP 4x8	0.148438
PU Merge SMP 4x8	0.179688
PU Inter SMP 16x16	1.5625
PU Inter SMP 16x8	0.1875
PU Merge SMP 16x8	0.3125
PU Inter SMP 8x16	0.25
PU Merge SMP 8x16	0.5
PU Inter SMP 8x8	0.734375
TU 32x32	7
PU SKIP 32x32	4.75
PU Inter SMP 32x32	1.25
PU Intra 4x4	0.015625
PU Inter AMP 16x4	0.046875
PU Intra 8x8	0.015625
PU Merge AMP 4x16	0.140625
PU Merge AMP 12x16	0.375
PU Inter AMP 24x32	0.375
PU Merge AMP 8x32	0.125
PU Merge SMP 32x32	0.5
PU Merge AMP 16x12	0.375
PU Inter AMP 32x8	0.0625
PU Inter AMP 32x24	0.1875
PU Inter AMP 12x16	0.09375
PU Inter AMP 4x16	0.015625
PU Inter SMP 32x16	0.125
PU Merge SMP 32x16	0.125
END
