Frame 8
PU Inter SMP 64x64	18
TZS First Search 64x64 5	9
TZS Raster Search 64x64	0
TZS Refinement Search 64x64 2	4
PU Inter SMP 32x64	18
TZS Refinement Search 64x64 0	0
PU Inter SMP 64x32	18
TZS First Search 64x64 4	47
PU Inter AMP Merge 64x16	5.5
PU Inter AMP Merge 64x48	16.5
PU Intra  64x64	17
PU Inter SMP 32x32	22.75
TZS First Search 32x32 6	41
TZS Raster Search 32x32	2
TZS Refinement Search 32x32 1	36
PU Inter SMP 16x32	22.75
TZS Refinement Search 32x32 3	27
TZS First Search 32x32 3	319
TZS Refinement Search 32x32 0	0
PU Inter SMP 32x16	22.75
TZS First Search 32x32 4	372
PU Inter AMP 8x32	6
PU Inter AMP 24x32	18
PU Intra  32x32	15.5
PU Inter SMP 16x16	24.375
TZS First Search 16x16 6	78
TZS Raster Search 16x16	12
TZS Refinement Search 16x16 3	44
PU Inter SMP 8x16	24.375
TZS Refinement Search 16x16 1	127
TZS First Search 16x16 4	1257
TZS Refinement Search 16x16 0	0
PU Inter SMP 16x8	24.375
PU Inter AMP 16x4	4
PU Inter AMP 16x12	12
TZS First Search 16x16 5	450
PU Inter AMP Merge 4x16	3.3125
PU Inter AMP Merge 12x16	9.9375
PU Intra  16x16	11.875
PU Inter SMP 8x8	24.375
TZS First Search 8x8 6	108
TZS Raster Search 8x8	24
TZS Refinement Search 8x8 1	218
PU Inter SMP 4x8	24.375
TZS First Search 8x8 3	3921
TZS Refinement Search 8x8 0	0
PU Inter SMP 8x4	24.375
TZS Refinement Search 8x8 3	99
TZS First Search 8x8 4	2784
PU Intra  8x8	6.9375
PU Intra  4x4	6.9375
TZS First Search 8x8 5	944
TZS First Search 16x16 3	1210
PU Inter AMP 4x16	4.34375
PU Inter AMP 12x16	13.0312
PU Inter AMP Merge 16x4	3.59375
PU Inter AMP Merge 16x12	10.7812
TZS Refinement Search 8x8 5	12
TZS First Search 32x32 5	103
PU Inter AMP 32x8	6.125
PU Inter AMP 32x24	18.375
TZS Refinement Search 8x8 2	79
TZS First Search 8x8 7	43
PU Inter AMP Merge 16x64	4
PU Inter AMP Merge 48x64	12
TZS Refinement Search 16x16 2	49
TZS Refinement Search 32x32 8	1
TZS Refinement Search 8x8 4	7
TZS Refinement Search 16x16 8	3
TZS Refinement Search 8x8 6	7
TZS Refinement Search 16x16 6	6
TZS First Search 16x16 7	23
TZS Refinement Search 16x16 4	8
TZS First Search 64x64 7	3
TZS Refinement Search 64x64 3	4
TZS Refinement Search 64x64 1	2
TZS First Search 64x64 6	4
TZS Refinement Search 64x64 4	1
TZS First Search 32x32 7	8
TZS Refinement Search 32x32 5	6
TZS Refinement Search 32x32 2	7
TZS Refinement Search 16x16 5	5
TZS Refinement Search 16x16 10	2
TZS Refinement Search 8x8 9	1
TZS Refinement Search 8x8 11	1
TZS Refinement Search 32x32 4	3
TZS Refinement Search 8x8 7	4
PU Inter AMP Merge 32x8	0.125
PU Inter AMP Merge 32x24	0.375
PU Inter AMP Merge 8x32	0.125
PU Inter AMP Merge 24x32	0.375
TZS First Search 64x64 3	27
TZS Refinement Search 32x32 7	2
TZS Refinement Search 16x16 7	3
END
Frame 4
PU Inter SMP 64x64	18
TZS First Search 64x64 3	95
TZS Raster Search 64x64	0
TZS Refinement Search 64x64 0	0
TZS First Search 64x64 5	29
PU Inter SMP 32x64	18
PU Inter SMP 64x32	18
PU Inter AMP Merge 16x64	5
PU Inter AMP Merge 48x64	15
PU Inter SMP 32x32	22.75
TZS First Search 32x32 3	543
TZS Raster Search 32x32	0
TZS Refinement Search 32x32 0	0
TZS First Search 32x32 5	145
PU Inter SMP 16x32	22.75
PU Inter SMP 32x16	22.75
PU Inter AMP 8x32	1.75
PU Inter AMP 24x32	5.25
PU Inter SMP 16x16	24.375
TZS First Search 16x16 3	2262
TZS Raster Search 16x16	0
TZS Refinement Search 16x16 0	0
TZS First Search 16x16 5	524
PU Inter SMP 8x16	24.375
PU Inter SMP 16x8	24.375
PU Inter AMP 4x16	0.875
PU Inter AMP 12x16	2.625
PU Inter SMP 8x8	24.375
TZS First Search 8x8 3	8637
TZS Raster Search 8x8	8
TZS Refinement Search 8x8 0	0
TZS First Search 8x8 5	1587
PU Inter SMP 4x8	24.375
TZS First Search 8x8 4	5278
PU Inter SMP 8x4	24.375
TZS First Search 16x16 4	1499
TZS First Search 32x32 4	426
PU Inter AMP 16x4	0.8125
PU Inter AMP 16x12	2.4375
TZS Refinement Search 8x8 1	216
PU Inter AMP Merge 16x4	1.53125
PU Inter AMP Merge 16x12	4.59375
PU Inter AMP Merge 4x16	1.375
PU Inter AMP Merge 12x16	4.125
TZS Refinement Search 16x16 1	73
TZS Refinement Search 8x8 3	76
TZS First Search 8x8 6	90
TZS Refinement Search 8x8 2	61
TZS Refinement Search 16x16 2	27
TZS First Search 64x64 4	56
PU Intra  64x64	4
PU Intra  8x8	0.46875
PU Intra  4x4	0.46875
PU Inter AMP 32x8	1.625
PU Inter AMP 32x24	4.875
PU Intra  32x32	2.5
TZS First Search 16x16 6	47
TZS Refinement Search 16x16 3	27
PU Inter AMP Merge 32x8	0.625
PU Inter AMP Merge 32x24	1.875
PU Inter AMP Merge 8x32	0.875
PU Inter AMP Merge 24x32	2.625
PU Intra  16x16	1.0625
TZS Refinement Search 32x32 1	16
TZS First Search 32x32 6	12
TZS Refinement Search 64x64 1	2
PU Inter AMP Merge 64x16	2
PU Inter AMP Merge 64x48	6
TZS Refinement Search 32x32 4	1
TZS Refinement Search 32x32 3	10
TZS Refinement Search 32x32 2	14
TZS Refinement Search 16x16 6	6
TZS Refinement Search 16x16 12	1
TZS Refinement Search 8x8 5	11
TZS Refinement Search 8x8 4	4
TZS First Search 8x8 7	8
TZS Refinement Search 16x16 9	1
TZS Refinement Search 16x16 8	1
TZS Refinement Search 8x8 9	2
TZS Refinement Search 8x8 6	1
TZS Refinement Search 16x16 4	2
TZS Refinement Search 16x16 5	2
TZS Refinement Search 16x16 7	1
TZS Refinement Search 8x8 8	1
TZS Refinement Search 64x64 2	6
END
Frame 2
PU Inter SMP 64x64	18
TZS First Search 64x64 3	183
TZS Raster Search 64x64	0
TZS Refinement Search 64x64 0	0
PU Inter SMP 32x64	18
PU Inter SMP 64x32	18
PU Inter SMP 32x32	22.75
TZS First Search 32x32 3	1098
TZS Raster Search 32x32	0
TZS Refinement Search 32x32 0	0
PU Inter SMP 16x32	22.75
PU Inter SMP 32x16	22.75
PU Inter AMP 8x32	1
TZS First Search 32x32 4	362
PU Inter AMP 24x32	3
PU Inter SMP 16x16	24.375
TZS First Search 16x16 3	4214
TZS Raster Search 16x16	0
TZS Refinement Search 16x16 0	0
PU Inter SMP 8x16	24.375
PU Inter SMP 16x8	24.375
PU Inter SMP 8x8	24.375
TZS First Search 8x8 3	16619
TZS Raster Search 8x8	2
TZS Refinement Search 8x8 0	0
PU Inter SMP 4x8	24.375
PU Inter SMP 8x4	24.375
TZS First Search 8x8 4	5039
TZS First Search 16x16 4	1360
TZS First Search 8x8 5	1689
TZS First Search 16x16 5	501
TZS Refinement Search 16x16 2	24
TZS Refinement Search 8x8 1	195
TZS Refinement Search 8x8 3	62
TZS First Search 64x64 4	63
TZS First Search 64x64 5	22
TZS First Search 32x32 5	139
PU Inter AMP 32x8	1.5
PU Inter AMP 32x24	4.5
TZS Refinement Search 8x8 2	56
PU Inter AMP 16x4	0.34375
PU Inter AMP 16x12	1.03125
PU Inter AMP 4x16	0.3125
PU Inter AMP 12x16	0.9375
TZS Refinement Search 32x32 3	4
