Frame 4
TU 4x4	1.15625
PU Inter SMP 16x16	1
TU 16x16	5.875
PU SKIP 16x16	4.5
TU 8x8	2.09375
PU SKIP 8x8	1.21875
PU Merge SMP 8x4	0.078125
PU Inter SMP 8x8	0.390625
PU Merge SMP 16x16	0.5
PU Inter SMP 16x8	0.15625
PU Merge AMP 4x16	0.046875
PU Inter AMP 12x16	0.140625
TU 32x32	15.25
PU SKIP 32x32	4.75
PU Inter SMP 4x8	0.195312
PU Merge SMP 4x8	0.101562
PU Merge SMP 32x16	0.375
PU Merge SMP 8x8	0.109375
PU Inter SMP 8x4	0.171875
PU Inter AMP 16x12	0.046875
PU Inter AMP 16x4	0.015625
PU Intra 8x8	0.015625
PU Intra 4x4	0.03125
PU Merge SMP 8x16	0.1875
PU Inter SMP 64x64	2
PU Inter SMP 32x32	1.5
PU Merge AMP 24x32	0.375
PU Inter AMP 8x32	0.0625
PU Inter SMP 8x16	0.125
PU SKIP 64x64	1
PU Inter SMP 32x64	2
PU Merge SMP 16x32	0.375
PU Inter SMP 16x32	0.625
PU Inter SMP 32x16	0.375
PU Inter AMP 4x16	0.015625
PU Merge AMP 12x16	0.046875
PU Merge SMP 16x8	0.03125
PU Merge SMP 64x32	0.5
PU Inter SMP 64x32	0.5
PU Merge AMP 32x8	0.125
PU Inter AMP 32x24	0.1875
PU Merge AMP 8x32	0.125
PU Inter AMP 24x32	0.1875
PU Merge AMP 32x24	0.1875
END
Frame 2
TU 32x32	20.5
PU SKIP 64x64	8
PU Inter AMP 24x32	0.1875
PU Merge AMP 8x32	0.1875
PU SKIP 32x32	6.75
TU 8x8	0.90625
PU SKIP 8x8	0.75
PU Inter SMP 8x4	0.046875
PU Merge SMP 8x4	0.03125
TU 16x16	2.875
PU SKIP 16x16	2.375
PU Inter SMP 16x16	0.125
PU Inter SMP 4x8	0.015625
PU Merge SMP 4x8	0.015625
PU Inter SMP 8x8	0.0625
PU Merge SMP 16x8	0.125
PU Inter SMP 16x8	0.0625
PU Merge AMP 16x4	0.015625
PU Merge AMP 16x12	0.046875
TU 4x4	0.09375
PU Merge AMP 12x16	0.046875
PU Merge AMP 4x16	0.015625
PU Merge SMP 16x32	0.25
PU Inter SMP 16x32	0.25
PU Merge AMP 24x32	0.375
PU Merge SMP 8x16	0.0625
PU Inter SMP 32x32	0.5
PU Inter SMP 64x64	2
PU Merge AMP 64x16	0.25
PU Merge AMP 64x48	0.75
PU Inter SMP 32x64	0.5
PU Merge SMP 32x64	0.5
PU Inter SMP 8x16	0.0625
PU Merge SMP 8x8	0.015625
END
Frame 1
TU 32x32	22
PU SKIP 64x64	16
TU 16x16	2.375
PU SKIP 16x16	2.375
PU SKIP 32x32	6
END
Frame 3
TU 32x32	22.75
PU Inter SMP 64x64	3
PU SKIP 64x64	14
PU Merge SMP 16x32	0.25
PU SKIP 32x32	5.5
TU 16x16	1.625
PU SKIP 16x16	1.625
END
