Intra	64x64 	7.0 	2.0 	0.0 	0.0 	
Inter SMP	64x64 	18.0 	18.0 	18.0 	18.0 	
Inter AMP Merge	64x48 	16.5 	12.0 	0.0 	4.5 	
Inter AMP Merge	48x64 	16.5 	10.5 	0.0 	4.5 	
Inter SMP	32x64 	18.0 	18.0 	18.0 	18.0 	
Inter SMP	64x32 	18.0 	18.0 	18.0 	18.0 	
Inter AMP Merge	64x16 	5.5 	4.0 	0.0 	1.5 	
Inter AMP Merge	16x64 	5.5 	3.5 	0.0 	1.5 	
Inter SMP	32x32 	22.75 	22.75 	22.75 	22.75 	
Intra	32x32 	4.75 	0.75 	0.0 	0.0 	
Inter AMP	32x24 	13.875 	4.125 	1.125 	1.125 	
Inter AMP Merge	32x24 	0.75 	3.75 	0.0 	0.0 	
Inter AMP Merge	24x32 	0.75 	3.375 	0.0 	0.0 	
Inter AMP	24x32 	12.75 	5.625 	0.375 	0.375 	
Inter SMP	16x32 	22.75 	22.75 	22.75 	22.75 	
Inter SMP	32x16 	22.75 	22.75 	22.75 	22.75 	
Inter AMP	8x32 	4.25 	1.875 	0.125 	0.125 	
Inter AMP	32x8 	4.625 	1.375 	0.375 	0.375 	
Inter AMP Merge	32x8 	0.25 	1.25 	0.0 	0.0 	
Inter AMP Merge	8x32 	0.25 	1.125 	0.0 	0.0 	
Inter SMP	16x16 	24.375 	24.375 	24.375 	24.375 	
Intra	16x16 	2.75 	0.25 	0.0 	0.0 	
Inter AMP	12x16 	7.40625 	1.875 	0.0 	0.0 	
Inter AMP Merge	16x12 	4.5 	2.25 	0.375 	0.375 	
Inter AMP Merge	12x16 	4.40625 	1.96875 	0.375 	0.375 	
Inter AMP	16x12 	6.09375 	1.59375 	0.0 	0.0 	
Inter SMP	8x16 	24.375 	24.375 	24.375 	24.375 	
Inter SMP	16x8 	24.375 	24.375 	24.375 	24.375 	
Inter AMP	4x16 	2.46875 	0.625 	0.0 	0.0 	
Inter AMP Merge	16x4 	1.5 	0.75 	0.125 	0.125 	
Inter AMP	16x4 	2.03125 	0.53125 	0.0 	0.0 	
Inter AMP Merge	4x16 	1.46875 	0.65625 	0.125 	0.125 	
Intra	8x8 	1.04688 	0.046875 	0.0 	0.0 	
Inter SMP	8x8 	24.375 	24.375 	24.375 	24.375 	
Inter SMP	8x4 	24.375 	24.375 	24.375 	24.375 	
Inter SMP	4x8 	24.375 	24.375 	24.375 	24.375 	
Intra	4x4 	1.04688 	0.046875 	0.0 	0.0 	



SKIP 	0.0 	0.0 	0.0 	0.0 	
Merge AMP 	0.0 	0.0 	0.0 	0.0 	
Merge SMP 	0.0 	0.0 	0.0 	0.0 	
Inter SMP 	268.5 	268.5 	268.5 	268.5 	
Inter AMP 	111.375 	62.75 	3.0 	15.0 	
Intra 	16.59376 	3.09375 	0.0 	0.0 	



TU luma	32x32 	366.0 	247.75 	165.0 	177.0 	
TU luma	16x16 	481.5 	352.375 	263.5 	275.5 	
TU chroma	16x16 	158.375 	119.0 	82.5 	88.5 	
TU chroma	8x8 	248.969 	179.25 	131.75 	137.75 	
TU luma	8x8 	422.938 	333.656 	289.0 	289.0 	
TU luma	4x4 	262.484 	211.227 	196.0 	196.0 	
TU chroma	4x4 	347.016 	273.453 	242.5 	242.5 	



First Search 	11155.0 	21094.0 	30933.0 	30933.0 	
Raster Search 	7.0 	0.0 	10.0 	6.0 	
Refinement Search 	307.0 	139.0 	137.0 	143.0 	



