Frame 8
TU 32x32	176
PU Inter 64x32	5
PU Merge 32x16	11.5
TU 8x8	316.984
PU Inter 8x16	13.7188
TU 16x16	343.375
PU Inter 16x16	74.4375
TU 4x4	163.641
PU Inter 8x8	41.9375
PU Inter 4x8	7.17969
PU Merge 4x8	5.02344
PU Intra 8x8	34.8906
PU Merge 8x8	90.2969
PU Inter 16x8	19.4062
PU Merge 16x8	14.5312
PU Merge 16x16	139.125
PU SKIP 16x16	49
PU Merge 4x16	5.5
PU Inter 12x16	11.5312
PU Inter 8x4	9.0625
PU Merge 8x4	6.23438
PU Intra 16x16	29.75
PU Merge 16x4	6.60938
PU Inter 16x12	15.5156
PU Merge 8x16	11.0938
PU Merge 16x12	15.5156
PU SKIP 8x8	32.9688
PU Merge 32x32	72.5
PU Merge 32x24	8.625
PU Inter 32x8	2.3125
PU Inter 16x4	3.73438
PU Inter 32x16	12.75
PU Inter 4x16	2.34375
PU Merge 12x16	12
PU Intra 4x4	18.3438
PU Merge 16x32	10.5
PU Inter 16x32	11.75
PU Merge 32x8	4.375
PU Inter 32x32	37.25
PU Inter 32x24	11.4375
PU Merge 32x64	3.5
PU Inter 32x64	1.5
PU Inter 24x32	9
PU Merge 8x32	4.875
PU SKIP 32x32	44.5
PU Inter 8x32	1.9375
PU Merge 24x32	11.4375
PU Merge 64x32	6
PU Merge 64x64	23
PU Intra 32x32	6.5
PU Merge 16x64	1.5
PU Merge 48x64	4.5
PU Merge 64x48	3
PU Merge 64x16	1
PU Inter 64x64	8
PU SKIP 64x64	12
END
Frame 4
TU 32x32	448.75
PU Inter 64x32	12
PU Merge 32x32	34.5
TU 8x8	198.828
PU SKIP 8x8	58.5781
PU Merge 8x4	5.90625
PU Merge 8x8	45.0469
PU Inter 8x4	4.40625
PU Inter 8x8	15.5312
TU 4x4	72.1094
TU 16x16	280.312
PU Inter 16x8	9.53125
PU Merge 16x8	10.2812
PU SKIP 32x32	162.5
PU Merge 4x8	3.36719
PU Inter 4x8	2.86719
PU SKIP 16x16	124.562
PU Merge 32x8	4.25
PU Merge 32x24	10.6875
PU Merge 16x12	13.4062
PU Merge 16x4	5.82812
PU Merge 16x16	69.875
PU Merge 4x16	3.15625
PU Inter 12x16	5.4375
PU Inter 16x12	10.7812
PU Merge 12x16	7.35938
PU Merge 8x16	5.90625
PU Inter 8x16	5.40625
PU Inter 16x16	39.375
PU Merge 16x32	7.125
PU Inter 16x32	6.625
PU Inter 32x32	38.25
PU Inter 32x16	8.25
PU Merge 32x16	9
PU Merge 64x64	12
PU SKIP 64x64	150
PU Intra 4x4	1.07812
PU Inter 16x4	2.23438
PU Inter 32x64	7.5
PU Inter 4x16	1.10938
PU Merge 64x32	8
PU Intra 8x8	3.09375
PU Intra 16x16	3.125
PU Merge 8x32	2.8125
PU Inter 24x32	5.8125
PU Merge 24x32	6
PU Inter 8x32	1.125
PU Inter 64x64	27
PU Inter 32x24	9.9375
PU Merge 32x64	7.5
PU Merge 64x16	1
PU Merge 64x48	3
PU Inter 32x8	2.625
PU Merge 48x64	3
PU Merge 16x64	1
PU Intra 32x32	1.25
END
Frame 2
TU 32x32	583.25
PU Merge 32x64	14
PU Inter 32x64	10
PU SKIP 32x32	203.75
TU 16x16	242.375
PU Inter 32x32	27
TU 8x8	132.625
PU SKIP 8x8	57.5469
PU Merge 8x4	4.98438
PU Inter 8x8	10.3281
PU SKIP 16x16	139.188
PU Inter 16x16	22.875
PU Inter 16x32	4.25
PU Merge 4x16	2.76562
PU Merge 12x16	6.46875
PU Merge 16x4	5.5625
PU Merge 16x12	14.3906
TU 4x4	41.75
PU Merge 8x8	26.6719
PU Merge 8x16	4.90625
PU Inter 8x16	4.71875
PU Merge 4x8	3.28125
PU Inter 4x8	2.5
PU Merge 16x8	9.53125
PU Merge 16x16	35.125
PU Inter 24x32	4.6875
PU Inter 8x32	1.375
PU Inter 16x8	5.78125
PU Inter 12x16	4.64062
PU Inter 32x24	7.5
PU Merge 32x8	4.75
PU Merge 32x16	14.25
PU Inter 16x12	7.21875
